Market position,Entry time,Exit time,Entry price,stop,Exit price,outcome,Profit
Long,2025.08.04 01:30:00,2025.08.04 07:00:00,22965.25,22932.25,23015.25,win,100.0
Long,2025.08.04 03:30:00,2025.08.04 04:00:00,22982.25,22964.0,22964.0,loss,-36.5
Long,2025.08.04 08:00:00,2025.08.04 13:00:00,23045.5,23005.25,23095.25,win,99.5
Long,2025.08.04 12:00:00,2025.08.04 13:30:00,23077.0,23039.5,23246.5,win,339.0
Long,2025.08.04 15:30:00,2025.08.04 16:00:00,23224.0,23187.5,23264.0,win,80.0
Long,2025.08.04 19:00:00,2025.08.04 19:30:00,23277.5,23255.5,23255.5,loss,-44.0
Long,2025.08.05 00:30:00,2025.08.05 04:30:00,23334.75,23314.25,23359.25,win,49.0
Long,2025.08.05 02:30:00,2025.08.05 03:00:00,23346.0,23332.5,23332.5,loss,-27.0
Long,2025.08.05 03:30:00,2025.08.05 05:00:00,23343.25,23324.25,23365.0,win,43.5
Long,2025.08.05 06:00:00,2025.08.05 06:30:00,23368.0,23360.75,23385.75,win,35.5
Long,2025.08.05 09:00:00,2025.08.05 10:00:00,23338.75,23325.25,23376.0,win,74.5
Long,2025.08.05 11:30:00,2025.08.05 12:00:00,23394.0,23371.75,23371.75,loss,-44.5
Long,2025.08.05 13:30:00,2025.08.05 14:00:00,23372.0,23337.25,23337.25,loss,-69.5
Long,2025.08.05 16:00:00,2025.08.05 20:00:00,23185.0,23113.5,23113.5,loss,-143.0
Long,2025.08.06 05:00:00,2025.08.06 06:00:00,23171.25,23155.75,23197.0,win,51.5
Long,2025.08.06 07:00:00,2025.08.06 08:30:00,23206.75,23187.25,23187.25,loss,-39.0
Long,2025.08.06 10:00:00,2025.08.06 10:30:00,23154.0,23132.0,23132.0,loss,-44.0
Long,2025.08.06 11:00:00,2025.08.06 13:30:00,23151.75,23107.5,23201.25,win,99.0
Long,2025.08.06 13:30:00,2025.08.06 14:00:00,23194.0,23164.25,23164.25,loss,-59.5
Long,2025.08.06 14:30:00,2025.08.06 18:00:00,23285.0,23164.25,23420.25,win,270.5
Long,2025.08.06 18:00:00,2025.08.06 19:00:00,23396.5,23363.5,23429.5,win,66.0
Long,2025.08.06 19:00:00,2025.08.06 19:30:00,23436.0,23410.0,23410.0,loss,-52.0
Long,2025.08.07 00:00:00,2025.08.07 07:30:00,23471.0,23443.0,23509.0,win,76.0
Long,2025.08.07 01:30:00,2025.08.07 04:00:00,23498.25,23481.25,23481.25,loss,-34.0
Long,2025.08.07 07:00:00,2025.08.07 08:00:00,23497.0,23467.25,23568.5,win,143.0
Long,2025.08.07 09:00:00,2025.08.07 10:00:00,23574.0,23540.25,23610.0,win,72.0
Long,2025.08.07 12:30:00,2025.08.07 13:30:00,23605.5,23576.0,23576.0,loss,-59.0
Long,2025.08.07 19:30:00,2025.08.07 20:00:00,23417.25,23379.5,23513.5,win,192.5
Long,2025.08.08 00:00:00,2025.08.08 00:30:00,23551.0,23536.5,23571.75,win,41.5
Long,2025.08.08 02:00:00,2025.08.08 03:30:00,23572.0,23558.5,23558.5,loss,-27.0
Long,2025.08.08 06:00:00,2025.08.08 13:30:00,23545.25,23503.25,23644.75,win,199.0
Long,2025.08.08 08:00:00,2025.08.08 11:30:00,23550.75,23526.75,23574.75,win,48.0
Long,2025.08.08 09:00:00,2025.08.08 11:30:00,23559.5,23545.0,23574.75,win,30.5
Long,2025.08.08 17:30:00,2025.08.08 20:00:00,23688.25,23655.0,23752.75,win,129.0
Long,2025.08.11 03:00:00,2025.08.11 04:00:00,23761.75,23750.0,23750.0,loss,-23.5
Long,2025.08.11 06:30:00,2025.08.11 07:30:00,23751.0,23728.5,23728.5,loss,-45.0
Long,2025.08.11 11:30:00,2025.08.11 12:30:00,23737.25,23719.5,23719.5,loss,-35.5
Long,2025.08.11 13:30:00,2025.08.11 15:30:00,23727.0,23700.75,23764.0,win,74.0
Long,2025.08.12 03:00:00,2025.08.12 05:00:00,23662.75,23648.75,23648.75,loss,-28.0
Long,2025.08.12 04:30:00,2025.08.12 05:00:00,23657.75,23650.25,23650.25,loss,-15.0
Long,2025.08.12 06:00:00,2025.08.12 12:30:00,23633.5,23596.0,23777.0,win,287.0
Long,2025.08.12 07:00:00,2025.08.12 07:30:00,23668.75,23645.75,23645.75,loss,-46.0
Long,2025.08.12 11:30:00,2025.08.12 12:00:00,23636.25,23608.5,23667.0,win,61.5
Long,2025.08.12 17:30:00,2025.08.12 19:30:00,23906.5,23886.0,23934.0,win,55.0
Long,2025.08.12 19:00:00,2025.08.12 20:30:00,23922.25,23905.25,23948.75,win,53.0
Long,2025.08.12 23:00:00,2025.08.12 23:30:00,23931.5,23926.25,23960.5,win,58.0
Long,2025.08.13 02:00:00,2025.08.13 04:00:00,23938.0,23925.5,23955.25,win,34.5
Long,2025.08.13 04:00:00,2025.08.13 04:30:00,23947.5,23940.25,23956.0,win,17.0
Long,2025.08.13 09:30:00,2025.08.13 11:30:00,23996.75,23984.25,23984.25,loss,-25.0
Long,2025.08.13 12:00:00,2025.08.13 13:00:00,24006.75,23984.0,24045.0,win,76.5
Long,2025.08.13 17:00:00,2025.08.14 12:30:00,23926.75,23886.0,23886.0,loss,-81.5
Long,2025.08.13 23:30:00,2025.08.14 00:30:00,23954.0,23938.5,23938.5,loss,-31.0
Long,2025.08.14 01:30:00,2025.08.14 04:30:00,23936.0,23921.5,23921.5,loss,-29.0
Long,2025.08.14 04:30:00,2025.08.14 05:00:00,23933.5,23921.75,23921.75,loss,-23.5
Long,2025.08.14 06:30:00,2025.08.14 07:30:00,23916.5,23899.5,23933.75,win,34.5
Long,2025.08.14 16:30:00,2025.08.15 13:30:00,23934.0,23864.5,23864.5,loss,-139.0
Long,2025.08.15 00:30:00,2025.08.15 02:00:00,23894.25,23873.75,23920.75,win,53.0
Long,2025.08.15 06:30:00,2025.08.15 07:30:00,23949.25,23933.75,23933.75,loss,-31.0
Long,2025.08.15 10:00:00,2025.08.15 11:00:00,23894.0,23878.0,23919.25,win,50.5
Long,2025.08.15 16:30:00,2025.08.18 00:00:00,23810.0,23763.75,23860.5,win,101.0
Long,2025.08.15 17:30:00,2025.08.15 19:00:00,23824.5,23786.0,23786.0,loss,-77.0
Long,2025.08.17 23:30:00,2025.08.18 01:00:00,23850.5,23840.0,23871.25,win,41.5
Long,2025.08.18 01:00:00,2025.08.18 01:30:00,23865.75,23853.75,23881.5,win,31.5
Long,2025.08.18 14:00:00,2025.08.18 14:30:00,23818.25,23735.0,23735.0,loss,-166.5
Long,2025.08.18 19:30:00,2025.08.18 20:00:00,23812.25,23784.0,23784.0,loss,-56.5
Long,2025.08.18 22:00:00,2025.08.18 22:30:00,23795.75,23785.0,23820.5,win,49.5
Long,2025.08.19 03:00:00,2025.08.19 03:30:00,23783.0,23761.75,23761.75,loss,-42.5
Long,2025.08.19 04:30:00,2025.08.19 05:00:00,23755.25,23738.75,23738.75,loss,-33.0
Long,2025.08.19 06:00:00,2025.08.19 07:30:00,23748.25,23730.75,23769.5,win,42.5
Long,2025.08.19 07:30:00,2025.08.19 08:00:00,23770.75,23755.5,23755.5,loss,-30.5
Long,2025.08.19 19:30:00,2025.08.19 23:00:00,23463.0,23425.25,23425.25,loss,-75.5
